,Content,Location,Username,Retweet-Count,Favorites,Created at
0,Senator Bernie Sanders: A Leader to Believe In https://t.co/2OgKAcu27d #climatechange #compassion #morality #religion #senatorberniesanders #uselection,,Dorje_sDooing,0,0,2021-03-30 14:55:16
1,#USELECTION: Voting Machines to be Recalibrated “with infinite majesty and calm” https://t.co/OV2ZN3F2Kp,,sol3news,0,0,2021-03-30 12:54:39
2,"I’ve just published post 10 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/rQJZNexXwV","Scotland, United Kingdom",docuterror,0,1,2021-03-29 19:58:04
3,"ROLL CALL:  Calling ‘em out! (on GA Voter Suppression Bill) 
#undecidedvoter #underaged #USElection #USPresidentialElections2020 #WashingtonDC #ElectionInterference #WhiteHouse #WarRoomPandemic #Wisconsin #WomensMarch2020 #YourVoteCounts #YouthDemocraticParty #youthvote #wtpBlue https://t.co/zpiw9FE06D",,Asantewa082520,2,1,2021-03-29 15:13:54
4,"Trump’s refusal to concede the #USelection undermined democracy in a big way.  🇺🇸 What lies ahead for this deeply divided country? One of the most influential political journalists of all time shares his take on this critical juncture in #Americanhistory.

https://t.co/K0aDTXQu4s",Barcelona,bcnmetropolitan,0,3,2021-03-29 12:01:46
5,"What we achieved as a nation in 1965 was remarkable.    #USElection #USPresidentialElections2020 #WashingtonDC #ElectionInterference #WhiteHouse #WarRoomPandemic #Wisconsin #WomensMarch2020 #YourVoteCounts #YouthDemocraticParty #youthvote #wtpBlue
#Dems4USA #D11 #DEMS4ERA https://t.co/Cc7e7PzPfR",,Asantewa082520,2,1,2021-03-28 21:23:01
6,"I’ve just published post 9 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/s9ZUMQvTA2","Scotland, United Kingdom",docuterror,2,0,2021-03-28 20:46:31
7,Sugar baby needed. Dm let me spoil you with my money #twittersugarbabe #sugardaddylegit #USElection #USA #TwitterNatureCommunity #twittersugarbabeneeded #sugar #sugardaddyneededasap #sugarmomma #SugarDaddySerious #sugarmummylegit #sugarbabyneededtobespoilt #Sugarmummy #texas,,mommaheaters,0,1,2021-03-28 06:44:38
8,"Will the election of of new president of US have impact on the timing of world war III?
#wwiii #uselection
Gulshane Waqfe Nau Khuddam Mauritius 13 December 2020 
#ahmadiyyatthetrueislam #ahmadiyya #ourteaching 
https://t.co/jYck2LIm5y https://t.co/D7Y3RlkD0D",.....,our_teaching,1,4,2021-03-27 22:44:22
9,"@AbiyAhmedAli admitted TO LIES.
He started #WarOnTigray ORGANIZED weeks in advance to ATTACK Nov 4 coinciding #USElection. 
#Tigray #TDF RESPONDED to #Eritrean, #Ethiopian &amp; #Amhara #INVASION in taking #NorthernCommand Base. #CNN #AP #BBC #Aljazeera #News #UN #TPLF #Genocide #EU https://t.co/A1Lznah2LD",youtubeCharlieHackettAutismCir,CharlieHackett8,0,0,2021-03-27 17:46:55
10,"I’ve just published post 8 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/Sr1Tjf1ojX","Scotland, United Kingdom",docuterror,0,1,2021-03-27 07:25:50
11,#USELECTION: Voting Machines to be Recalibrated “with infinite majesty and calm” https://t.co/OV2ZN3F2Kp,,sol3news,0,0,2021-03-26 21:52:51
12,Lawmaker arrested. Begin vid at 4:32 https://t.co/iY2a3VE47V... #UPDATE #USAElections2020 #undecidedvoter #underaged #USElection #USPresidentialElections2020 #WashingtonDC #ElectionInterference #WhiteHouse #WarRoomPandemic #Wisconsin #WomensMarch2020 #YourVoteCounts https://t.co/DJhtaBkieJ,,Asantewa082520,2,1,2021-03-26 16:37:30
13,Brilliant original Blame Me I Voted For Bernie Sanders Birdie Bern Short Sleeve T-shirt. Great birthday gift! Get yours at https://t.co/fjB8TUYSi5 #tshirt #tshirtlife #tshirtlovers #vermont #uselection #trumptrain #djt https://t.co/YRGZiFsPs6,"Vermont, USA",atelier68,0,0,2021-03-26 04:24:02
14,#USELECTION: Voting Machines to be Recalibrated “with infinite majesty and calm” https://t.co/OV2ZN3F2Kp,,sol3news,0,0,2021-03-26 01:58:58
15,"It Doesn’t Matter Who Votes. It’s Who Counts the Votes

https://t.co/KZ9GVulzOl

#voterfraud #USelection https://t.co/BmV68fgIxK",All major cities worldwide,DAILYSQUIB,0,0,2021-03-26 00:02:17
16,"I’ve just published post 7 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/11O78iObMe","Scotland, United Kingdom",docuterror,1,1,2021-03-25 17:19:46
17,"I’ve just published post 6 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/L7HwfLb0OG","Scotland, United Kingdom",docuterror,0,0,2021-03-24 12:37:14
18,"@jeanniejuno @Keir_Starmer Nothing is out of the question these days, we just watched the GREATEST ELECTION FRAUD ever, with the #USelection, voting is just to give a sense that the people have some control.
The TRUTH is we have NO SAY, in who rules over us.",,SunShaker,0,0,2021-03-23 13:42:49
19,"I’ve just published post 5 on the Voter Fraud in Georgia. It’s with video link on site. You’ll find it in the Society and Culture Category.
#VoterFraud, #DonaldTrump, #JoeBiden, #Democracy, #Treason, #USElection https://t.co/lFFki5qaSO","Scotland, United Kingdom",docuterror,1,2,2021-03-23 12:51:23
